Job Role,Job Function,Job Level,Title
None Technical,Education,nan,65
None Technical,Engineer SASE,Contributor,2
None Technical,Engineering,C-Level,33
None Technical,Engineering,Contributor,1405
None Technical,Engineering,Director,610
None Technical,Engineering,Executive,227
None Technical,Engineering,Manager,720
None Technical,Engineering,Non-Manager,10
None Technical,Engineering,Unknown,2
None Technical,Engineering,VP-Level,2
None Technical,Engineering,nan,1153
None Technical,Engineering & Technical,Contributor,2
None Technical,Engineering & Technical,Manager,3
None Technical,Engineering & Technical,Non-Manager,1
None Technical,Engineering & Technical,VP-Level,1
None Technical,Enterprise Architecture,Contributor,1
None Technical,Enterprise Architecture,Executive,3
None Technical,Enterprise Architecture,Manager,1
None Technical,Enterprise Architecture,Non-Manager,1
None Technical,"Enterprise Architecture, HR / Financial / ERP Systems",Non-Manager,1
None Technical,Epidemiology,Contributor,1
None Technical,Executive,C-Level,1
None Technical,Facilities,C-Level,41
None Technical,Facilities,Contributor,196
None Technical,Facilities,Director,188
None Technical,Facilities,Executive,126
None Technical,Facilities,Manager,290
None Technical,Facilities,Non-Manager,5
None Technical,Facilities,Unknown,14
None Technical,Facilities,VP-Level,1
None Technical,Facilities,nan,94
None Technical,Field / Outside Sales,Manager,10
None Technical,"Field / Outside Sales, Sales",Manager,1
None Technical,Field Marketing,Manager,1
None Technical,Field Marketing,Non-Manager,2
None Technical,Finance,C-Level,1052
None Technical,Finance,Contributor,9028
None Technical,Finance,Director,2557
None Technical,Finance,Executive,2476
None Technical,Finance,Manager,3046
None Technical,Finance,Non-Manager,24
None Technical,Finance,Unknown,79
None Technical,Finance,VP-Level,7
None Technical,Finance,nan,546
None Technical,Financial Planning & Analysis,Contributor,4
None Technical,Financial Planning & Analysis,nan,1
None Technical,Governmental Affairs & Regulatory Law,Director,1
None Technical,HR / Financial / ERP Systems,Manager,1
None Technical,Help Desk / Desktop Services,Contributor,1
None Technical,Help Desk / Desktop Services,Non-Manager,4
None Technical,Human Resource,C-Level,302
None Technical,Human Resource,C-level,1
None Technical,Human Resource,Contributor,1306
None Technical,Human Resource,Director,834
None Technical,Human Resource,Executive,690
None Technical,Human Resource,Manager,728
None Technical,Human Resource,Non-Manager,11
None Technical,Human Resource,Unknown,42
None Technical,Human Resource,VP-Level,1
None Technical,Human Resource,nan,184
None Technical,IT,??,6
None Technical,IT,?? DX????,2
None Technical,IT,????,1
None Technical,IT,C-Level,531
None Technical,IT,C-level,30
None Technical,IT,Contributor,8319
None Technical,IT,Director,1313
None Technical,IT,Director (It & Project) & Chief Information Security Officer,2
None Technical,IT,Executive,1728
None Technical,IT,Manager,3984
None Technical,IT,Non-Manager,15
None Technical,IT,Unknown,24
None Technical,IT,VP-Level,1
None Technical,IT,VP/Director,5
None Technical,IT,nan,3297
None Technical,IT - Network,Contributor,6
None Technical,IT - Security,Contributor,5
None Technical,Industrial Engineering,Manager,1
None Technical,Information Security,Contributor,6
None Technical,Information Security,Executive,1
None Technical,Information Security,Manager,5
None Technical,Information Security,Non-Manager,8
None Technical,Information Security,nan,4
None Technical,"Information Security, Information Technology",Contributor,1
None Technical,"Information Security, Information Technology",Manager,1
None Technical,"Information Security, Information Technology, Enterprise Architecture",Contributor,1
None Technical,Information Technology,C-Level,2
None Technical,Information Technology,Director,1
None Technical,Information Technology,Manager,6
None Technical,Information Technology,Non-Manager,1
None Technical,"Information Technology, Information Technology Executive",C-Level,1
None Technical,Infrastructure,Contributor,1
None Technical,Infrastructure,Manager,2
None Technical,Infrastructure,Non-Manager,4
None Technical,Inside Sales,Contributor,1
None Technical,"Internal Audit & Control, Governance",Non-Manager,2
None Technical,It,Director,1
None Technical,Lawyer / Attorney,nan,1
None Technical,Legal,C-Level,165
None Technical,Legal,Contributor,1821
None Technical,Legal,Director,213
None Technical,Legal,Executive,485
None Technical,Legal,Manager,273
None Technical,Legal,Non-Manager,2
None Technical,Legal,Unknown,26
None Technical,Legal,nan,127
None Technical,Management,C-Level,24883
None Technical,Management,Contributor,673
None Technical,Management,Director,1096
None Technical,Management,Executive,15952
None Technical,Management,Jt. General Manager,1
None Technical,Management,Manager,440
None Technical,Management,Non-Manager,2
None Technical,Management,Unknown,14
None Technical,Management,VP-Level,12
None Technical,Management,nan,259
None Technical,Marketing,??,1
None Technical,Marketing,????,1
None Technical,Marketing,??????????,1
None Technical,Marketing,C-Level,931
None Technical,Marketing,Contributor,8651
None Technical,Marketing,Director,3883
None Technical,Marketing,Director / C-Level,3
None Technical,Marketing,Executive,2393
None Technical,Marketing,Manager,6845
None Technical,Marketing,Non-Manager,41
None Technical,Marketing,Unknown,97
None Technical,Marketing,VP-Level,3
None Technical,Marketing,nan,2258
None Technical,Marketing Operations,Manager,2
None Technical,Marketing/Sales,Manager,1
None Technical,Medical,C-Level,94
None Technical,Medical,Contributor,724
None Technical,Medical,Director,392
None Technical,Medical,Executive,149
None Technical,Medical,Manager,214
None Technical,Medical,Non-Manager,3
None Technical,Medical,Unknown,46
None Technical,Medical,VP-Level,1
None Technical,Medical,nan,110
None Technical,Nursing,Contributor,1
None Technical,Operations,???,3
None Technical,Operations,C-Level,4535
None Technical,Operations,C-level,3
None Technical,Operations,Contributor,7372
None Technical,Operations,Director,4095
None Technical,Operations,Executive,3584
None Technical,Operations,Manager,8001
None Technical,Operations,Non-Manager,60
None Technical,Operations,Unknown,140
None Technical,Operations,VP-Level,1
None Technical,Operations,VP/Director,1
None Technical,Operations,nan,1911
None Technical,"Operations Executive, Operations",C-Level,1
None Technical,Other,C-Level,61
None Technical,Other,C-level,259
None Technical,Other,Contributor,2361
None Technical,Other,Director,37
None Technical,Other,Executive,650
None Technical,Other,Manager,3469
None Technical,Other,Unknown,3
None Technical,Other,nan,233
None Technical,Privacy,Contributor,2
None Technical,Privacy,Non-Manager,1
None Technical,Privacy,nan,1
None Technical,Procurement,C-Level,24
None Technical,Procurement,Contributor,471
None Technical,Procurement,Director,285
None Technical,Procurement,Executive,543
None Technical,Procurement,Manager,888
None Technical,Procurement,Non-Manager,2
None Technical,Procurement,Unknown,17
None Technical,Procurement,VP-Level,1
None Technical,Procurement,nan,46
None Technical,Product Management,Non-Manager,3
None Technical,Project & Program Management,Manager,1
None Technical,Project Management,Contributor,2
None Technical,Project Management,Manager,1
None Technical,Project Management,Non-Manager,1
None Technical,Public Sector,C-Level,434
None Technical,Public Sector,Contributor,1393
None Technical,Public Sector,Director,459
None Technical,Public Sector,Executive,762
None Technical,Public Sector,Manager,546
None Technical,Public Sector,Non-Manager,10
None Technical,Public Sector,Team Lead,6
None Technical,Public Sector,Unknown,14
None Technical,Public Sector,VP/Director,2
None Technical,Public Sector,nan,152
None Technical,Purchasing,C-Level,142
None Technical,Purchasing,C-level,9
None Technical,Purchasing,Contributor,1945
None Technical,Purchasing,Director,290
None Technical,Purchasing,Executive,426
None Technical,Purchasing,Manager,568
None Technical,Purchasing,Non-Manager,6
None Technical,Purchasing,Unknown,22
None Technical,Purchasing,nan,123
None Technical,Recruiting & Talent Acquisition,Contributor,2
None Technical,Recruiting & Talent Acquisition,Non-Manager,1
None Technical,"Risk, Legal Operations",Manager,2
None Technical,Safety,nan,2
None Technical,Sales,C-Level,2894
None Technical,Sales,C-level,4
None Technical,Sales,Contributor,46762
None Technical,Sales,CxO,1
None Technical,Sales,Director,11454
None Technical,Sales,Executive,11686
None Technical,Sales,IT Security Director,1
None Technical,Sales,Manager,13076
None Technical,Sales,Non-Manager,142
None Technical,Sales,Other,3
None Technical,Sales,Unknown,453
None Technical,Sales,VP-Level,5
None Technical,Sales,nan,4400
None Technical,Sales Engineering,Non-Manager,1
None Technical,Scrum Master / Agile Coach,nan,1
None Technical,Search Engine Optimization / Pay Per Click,Contributor,1
None Technical,Servers,Non-Manager,1
None Technical,Services,C-Level,138
None Technical,Services,Contributor,3145
None Technical,Services,Director,1201
None Technical,Services,Executive,1146
None Technical,Services,Individual Contributor,1
None Technical,Services,Manager,3482
None Technical,Services,Non-Manager,11
None Technical,Services,Senior Manager,3
None Technical,Services,Unknown,50
None Technical,Services,nan,197
None Technical,Software Development,Contributor,2
None Technical,"Software Development, Application Development",Non-Manager,1
None Technical,Sourcing / Procurement,Non-Manager,1
None Technical,Support,C-Level,357
None Technical,Support,Contributor,7071
None Technical,Support,Director,21319
None Technical,Support,Executive,798
None Technical,Support,IT,2
None Technical,Support,Manager,2760
None Technical,Support,Non-Manager,47
None Technical,Support,Unknown,69
None Technical,Support,nan,300
None Technical,Support / Technical Services,Manager,1
None Technical,Support / Technical Services,Non-Manager,2
None Technical,Technology Operations,Manager,3
None Technical,Test / Quality Assurance,Manager,1
None Technical,Unknown,C-Level,1543
None Technical,Unknown,C-level,118
None Technical,Unknown,Contributor,41272
None Technical,Unknown,Director,3929
None Technical,Unknown,Director / C-Level,2
None Technical,Unknown,Executive,5669
None Technical,Unknown,Management,4
None Technical,Unknown,Manager,19564
None Technical,Unknown,Non-Manager,179
None Technical,Unknown,Other,5
None Technical,Unknown,Unknown,271
None Technical,Unknown,VP-Level,10
None Technical,Unknown,nan,13791
None Technical,Virtualization,Manager,1
None Technical,nan,C-Level,245
None Technical,nan,C-level,14
None Technical,nan,Contributor,6857
None Technical,nan,Director,669
None Technical,nan,Director / C-Level,2
None Technical,nan,Executive,802
None Technical,nan,Manager,3376
None Technical,nan,Non-Manager,18
None Technical,nan,Unknown,12
None Technical,nan,VP-Level,2
None Technical,nan,nan,2035
Operations,Corporate,Executive,1
Operations,Corporate,Non-Manager,1
Operations,Engineering,C-Level,7
Operations,Engineering,Contributor,1380
Operations,Engineering,Director,43
Operations,Engineering,Executive,49
Operations,Engineering,Manager,315
Operations,Engineering,Non-Manager,1
Operations,Engineering,Unknown,1
Operations,Engineering,nan,38
Operations,Facilities,C-Level,1
Operations,Facilities,Contributor,28
Operations,Facilities,Director,14
Operations,Facilities,Executive,13
Operations,Facilities,Manager,33
Operations,Facilities,nan,2
Operations,Finance,Manager,6
Operations,IT,C-Level,105
Operations,IT,Contributor,1525
Operations,IT,Director,620
Operations,IT,Executive,780
Operations,IT,Manager,3099
Operations,IT,Non-Manager,14
Operations,IT,Unknown,5
Operations,IT,VP-Level,3
Operations,IT,nan,125
Operations,Management,C-Level,8
Operations,Management,Director,4
Operations,Management,Executive,11
Operations,Management,nan,1
Operations,Marketing,Manager,2
Operations,Operations,C-Level,24
Operations,Operations,Contributor,8
Operations,Operations,Director,4
Operations,Operations,Executive,6
Operations,Operations,Manager,37
Operations,Procurement,Contributor,2
Operations,Procurement,Executive,5
Operations,Procurement,Manager,1
Operations,Sales,Contributor,4
Operations,Sales,Executive,1
Operations,Sales,Non-Manager,1
Operations,Services,Executive,2
Operations,Services,Manager,1
Other,Engineering,Contributor,2
Other,IT,Contributor,2
Other,Other,nan,4
Other,Unknown,Other,7
Program Management,Administration,Contributor,5
Program Management,Corporate,Executive,4
Program Management,Engineering,C-Level,12
Program Management,Engineering,Contributor,395
Program Management,Engineering,Director,124
Program Management,Engineering,Executive,31
Program Management,Engineering,Manager,431
Program Management,Engineering,Non-Manager,1
Program Management,Engineering,Unknown,6
Program Management,Engineering,nan,129
Program Management,Facilities,Contributor,3
Program Management,Facilities,Executive,4
Program Management,Facilities,Manager,6
Program Management,Finance,Director,1
Program Management,Finance,Executive,6
Program Management,Finance,Manager,3
Program Management,Human Resource,Contributor,2
Program Management,Human Resource,Executive,1
Program Management,Human Resource,Manager,2
Program Management,IT,C-Level,196
Program Management,IT,Contributor,1670
Program Management,IT,Director,497
Program Management,IT,Executive,649
Program Management,IT,Manager,12636
Program Management,IT,Manager Level,1
Program Management,IT,Non-Manager,14
Program Management,IT,Unknown,103
Program Management,IT,VP-Level,3
Program Management,IT,nan,473
Program Management,Management,C-Level,68
Program Management,Management,Contributor,46
Program Management,Management,Director,16
Program Management,Management,Executive,46
Program Management,Management,Manager,4
Program Management,Management,Non-Manager,1
Program Management,Management,Unknown,1
Program Management,Management,nan,2
Program Management,Marketing,Contributor,1
Program Management,Marketing,Director,10
Program Management,Marketing,Manager,1
Program Management,Marketing,nan,3
Program Management,Operations,C-Level,4
Program Management,Operations,Contributor,7
Program Management,Operations,Executive,11
Program Management,Operations,Manager,8
Program Management,Operations,Non-Manager,1
Program Management,Operations,nan,4
Program Management,Public Sector,Manager,3
Program Management,Purchasing,Contributor,2
Program Management,Sales,Contributor,2
Program Management,Sales,Manager,5
Program Management,Sales,nan,1
Program Management,Services,Contributor,4
Program Management,Support,Contributor,3
Program Management,Unknown,Contributor,33
Program Management,Unknown,Director,10
Program Management,Unknown,Manager,6
Program Management,Unknown,nan,5
SENIOR CYBERSECURITY ENGINEER,IT,nan,1
SENIOR CYBERSECURITY ENGINEER,nan,nan,3
SVP,Management,Executive,12
Security,IT,Contributor,3
Security,IT,Director,3
"Senior Manager, Critical Facilities",Facilities,Manager,2
"Senior Manager, Information Technology",Facilities,Manager,2
"Senior Manager, Security, Risk, and Compliance",Unknown,nan,6
Sr. General Manager,Management,Executive,2
Systems,Corporate,Manager,1
Systems,Engineering,C-Level,5
Systems,Engineering,Contributor,313
Systems,Engineering,Director,123
Systems,Engineering,Executive,63
Systems,Engineering,Manager,212
Systems,Engineering,Unknown,1
Systems,Engineering,nan,84
Systems,Facilities,Contributor,2
Systems,Facilities,Executive,2
Systems,Facilities,Manager,11
Systems,Finance,C-Level,1
Systems,Finance,Contributor,6
Systems,Finance,Director,4
Systems,Finance,Manager,3
Systems,Human Resource,Executive,5
Systems,Human Resource,Manager,3
Systems,IT,C-Level,292
Systems,IT,Contributor,9533
Systems,IT,Director,2405
Systems,IT,Executive,2180
Systems,IT,Individual Contributor,1
Systems,IT,Manager,6612
Systems,IT,Non-Manager,18
Systems,IT,Team Lead,2
Systems,IT,Unknown,24
Systems,IT,nan,825
Systems,Legal,Manager,2
Systems,Management,C-Level,23
Systems,Management,Contributor,6
Systems,Management,Executive,51
Systems,Management,Manager,8
Systems,Management,nan,3
Systems,Marketing,Executive,1
Systems,Sales,Contributor,4
Systems,Sales,Executive,4
Systems,Sales,Manager,3
Systems,Support,Executive,2
Systems,Unknown,Contributor,10
Systems,Unknown,Manager,2
Systems,Unknown,nan,5
Training,Education,Executive,1
Training,Education,Non-Manager,1
Training,Engineering,C-Level,1
Training,Engineering,Contributor,40
Training,Engineering,Director,16
Training,Engineering,Executive,2
Training,Engineering,Manager,17
Training,Engineering,nan,5
Training,Facilities,Contributor,1
Training,IT,C-Level,4
Training,IT,Contributor,99
Training,IT,Director,17
Training,IT,Executive,4
Training,IT,Manager,46
Training,IT,Unknown,2
Training,IT,VP-Level,1
Training,IT,nan,8
Training,Legal,Director,2
Training,Management,C-Level,2
Training,Management,Executive,3
Training,Marketing,Contributor,2
Training,Operations,Contributor,2
Training,Sales,Contributor,1
Training,Sales,Executive,1
Training,Unknown,Contributor,2
VP,Management,Executive,2
Vendor Management,Engineering,C-Level,3
Vendor Management,Engineering,Contributor,21
Vendor Management,Engineering,Director,4
Vendor Management,Engineering,Executive,5
Vendor Management,Engineering,Manager,26
Vendor Management,Engineering,nan,7
Vendor Management,IT,C-Level,7
Vendor Management,IT,Contributor,23
Vendor Management,IT,Director,23
Vendor Management,IT,Executive,99
Vendor Management,IT,Manager,74
Vendor Management,IT,nan,19
Vendor Management,Management,C-Level,10
Vendor Management,Management,Contributor,4
Vendor Management,Management,Executive,98
Vendor Management,Management,Manager,4
Vendor Management,Operations,Manager,1
Vendor Management,Procurement,Manager,4
Vendor Management,Purchasing,Contributor,1
Vendor Management,Purchasing,Manager,1
Vendor Management,Sales,Contributor,1
Vendor Management,Sales,Manager,8
Vendor Management,Support,Executive,2
information security,IT,Manager,1
nan,Emerging Technology / Innovation,Director,1
nan,Engineering,C-Level,9
nan,Engineering,Contributor,1015
nan,Engineering,Director,207
nan,Engineering,Executive,82
nan,Engineering,Manager,282
nan,Engineering,Non-Manager,7
nan,Engineering,nan,142
nan,Engineering & Technical,Executive,1
nan,Enterprise Architecture,Non-Manager,1
nan,Facilities,C-Level,33
nan,Facilities,Contributor,137
nan,Facilities,Director,151
nan,Facilities,Executive,95
nan,Facilities,Manager,177
nan,Facilities,nan,12
nan,Finance,C-Level,3
nan,Finance,Contributor,3
nan,Finance,Director,9
nan,Finance,Manager,2
nan,Finance,nan,2
nan,Human Resource,nan,8
nan,IT,C-Level,77
nan,IT,C-level,3
nan,IT,Contributor,2028
nan,IT,Director,435
nan,IT,Executive,384
nan,IT,Manager,1565
nan,IT,Non-Manager,6
nan,IT,nan,254
nan,IT - Security,C-level,1
nan,IT-Sec Admin,nan,1
nan,Information Security,Contributor,2
nan,Information Security,nan,1
nan,"Information Security, Information Technology",Non-Manager,2
nan,Information Technology,Director,1
nan,Information Technology,Non-Manager,1
nan,Infrastructure,Non-Manager,2
nan,Legal,Director,1
nan,Management,C-Level,23
nan,Management,Director,1
nan,Management,Executive,40
nan,Management,nan,1
nan,Marketing,C-Level,1
nan,Marketing,Contributor,3
nan,Marketing,Director,16
nan,Marketing,Manager,23
nan,Marketing,Non-Manager,5
nan,Marketing,VP-Level,1
nan,Marketing,nan,23
nan,Marketing Operations,Contributor,1
nan,Marketing Operations,Non-Manager,1
nan,NetSec Operations,nan,1
nan,Operations,C-Level,8
nan,Operations,Director,11
nan,Operations,Manager,18
nan,Operations,Non-Manager,1
nan,Operations,nan,17
nan,Other,nan,64
nan,Product Management,Director,2
nan,Sales,C-Level,1
nan,Sales,Contributor,5
nan,Sales,Director,58
nan,Sales,Executive,1
nan,Sales,Manager,12
nan,Sales,Non-Manager,16
nan,Sales,VP-Level,1
nan,Sales,nan,60
nan,"Servers, Application Development",Non-Manager,1
nan,Services,nan,1
nan,Support,nan,7
nan,Support / Technical Services,Manager,1
nan,Unknown,Contributor,6
nan,Unknown,Manager,9
nan,Unknown,Other,11
nan,Unknown,Unknown,2284
nan,Unknown,nan,2543
nan,nan,C-Level,14
nan,nan,Contributor,22
nan,nan,Director,5
nan,nan,Executive,2
nan,nan,Individual Contributor,1
nan,nan,Manager,12
nan,nan,Unknown,11
nan,nan,nan,14892
